Date,Open,High,Low,Close,Volume,Adj Close
2006-02-13,19,19.5,18.05,18.5,222800,18.5
2006-02-14,18.99,18.99,18.15,18.2,276700,18.2
2006-02-15,18.56,18.56,17.96,18,70500,18
2006-02-16,18.01,18.1,17.81,18,208500,18
2006-02-17,18,18.09,17.95,18,293000,18
2006-02-21,18.5,18.9,17.75,18.75,183900,18.75
2006-02-22,18.75,18.75,18.45,18.45,95800,18.45
2006-02-23,18.55,18.55,18.25,18.3,49900,18.3
2006-02-24,18.25,18.5,17.95,18,64200,18
2006-02-27,18,18.2,18,18,34300,18
2006-02-28,18.2,18.2,17.96,18,809000,18
2006-03-01,18.59,18.59,17.99,18.08,522500,18.08
2006-03-02,18.25,18.25,17.9,17.91,451600,17.91
2006-03-03,17.9,18,17.45,18,14400,18
2006-03-06,17.58,18,17.58,17.93,19100,17.93
2006-03-07,17.95,17.99,17.52,17.7,8400,17.7
2006-03-08,17.82,18,17.56,17.91,13400,17.91
2006-03-09,18,18,17.73,17.92,18000,17.92
2006-03-10,17.83,18,17.69,17.99,40000,17.99
2006-03-13,18,18,17.75,18,26700,18
2006-03-14,18,18.1,17.98,18,29900,18
2006-03-15,18,18,17.9,17.95,54400,17.95
2006-03-16,18,18,17.99,18,139700,18
2006-03-17,18,18,17.67,17.67,117400,17.67
2006-03-20,18,18,17.8,17.9,52800,17.9
2006-03-21,18,18,17.8,17.9,138800,17.9
2006-03-22,18,18,17.8,17.93,140300,17.93
2006-03-23,17.98,18,17.7,18,85500,18
2006-03-24,18,18.01,17.91,17.99,73400,17.99
2006-03-27,18,18.25,17.95,18.2,73000,18.2
2006-03-28,18.02,18.25,17.95,18.2,153100,18.2
2006-03-29,18,18.54,17.96,18.17,323300,18.17
2006-03-30,18,18.61,17.94,18.61,955000,18.61
2006-03-31,18.75,20.85,17.96,17.96,3410800,17.96
2006-04-03,18.28,18.92,18,18.66,845500,18.66
2006-04-04,18.75,18.93,18.36,18.51,317700,18.51
2006-04-05,18.6,18.7,18.33,18.52,196800,18.52
2006-04-06,18.5,18.72,18.39,18.6,336000,18.6
2006-04-07,18.65,18.75,18.07,18.6,131800,18.6
2006-04-10,18.51,19.16,18.33,18.55,86600,18.55
2006-04-11,18.71,18.95,18.25,18.53,96900,18.53
2006-04-12,18.48,18.6,18.3,18.4,97500,18.4
2006-04-13,18.5,18.52,18.35,18.51,73500,18.51
2006-04-17,18.56,18.92,18.56,18.82,70600,18.82
2006-04-18,18.95,20.52,18.94,20.47,107800,20.47
2006-04-19,20.65,21.49,20.14,21.46,108000,21.46
2006-04-20,21.38,21.55,20.31,20.86,41500,20.86
2006-04-21,21.23,21.49,19.55,20.66,117900,20.66
2006-04-24,20.8,20.8,19.94,20.12,63000,20.12
2006-04-25,20.21,20.25,19.72,19.99,54200,19.99
2006-04-26,20.04,20.66,19.53,20.05,46200,20.05
2006-04-27,19.81,20.66,19.24,19.76,93600,19.76
2006-04-28,19.59,20.25,19.26,20.13,266600,20.13
2006-05-01,20.2,20.66,19.26,19.55,68600,19.55
2006-05-02,19.48,20.53,19.38,20.41,43500,20.41
2006-05-03,20.5,20.99,20.01,20.95,80900,20.95
2006-05-04,20.82,21.59,20.8,21.48,141300,21.48
2006-05-05,21.73,23,21.41,21.44,89900,21.44
2006-05-08,21.27,21.27,20.39,20.56,84300,20.56
2006-05-09,20.46,20.46,19.86,20.01,83100,20.01
2006-05-10,19.9,20.29,19.5,19.77,95100,19.77
2006-05-11,19.64,19.78,18.89,19.1,160000,19.1
2006-05-12,19.01,19.41,18.21,18.22,139700,18.22
2006-05-15,18.1,18.56,16.42,17.73,91700,17.73
2006-05-16,17.6,18.99,17.6,18.43,134500,18.43
2006-05-17,18.19,18.22,17.32,17.88,104100,17.88
2006-05-18,17.99,17.99,17.25,17.81,53500,17.81
2006-05-19,17.5,18.01,16.45,17.46,93200,17.46
2006-05-22,17.3,17.7,16.52,17.47,70100,17.47
2006-05-23,17.62,18.73,16.63,16.84,79500,16.84
2006-05-24,16.79,17.25,15.83,16.68,78900,16.68
2006-05-25,17.2,17.89,16.99,17.82,122000,17.82
2006-05-26,17.94,18.42,17.32,17.63,38100,17.63
2006-05-30,17.67,17.87,16.8,16.91,90000,16.91
2006-05-31,16.93,17.91,16.7,17.58,83500,17.58
2006-06-01,17.51,18.08,17,17.74,92200,17.74
2006-06-02,17.93,18.25,17.51,17.89,103300,17.89
2006-06-05,17.94,18.21,17.62,18,238300,18
2006-06-06,17.9,18.05,16.9,17.33,80400,17.33
2006-06-07,17.49,18.04,17.01,17.15,73600,17.15
2006-06-08,17.06,17.5,16.1,17.41,175100,17.41
2006-06-09,17.5,17.75,17.15,17.41,75700,17.41
2006-06-12,17.37,17.51,17.05,17.12,72200,17.12
2006-06-13,17.05,17.5,16.03,16.03,155600,16.03
2006-06-14,16.33,16.78,15.93,16.47,236500,16.47
2006-06-15,16.59,17.35,16.5,16.96,467100,16.96
2006-06-16,16.97,17.16,16.79,17,879300,17
2006-06-19,17,17.09,16.27,16.48,352500,16.48
2006-06-20,16.52,16.7,16.26,16.41,49300,16.41
2006-06-21,16.39,16.75,16.38,16.5,60200,16.5
2006-06-22,16.47,16.65,16.05,16.2,93800,16.2
2006-06-23,16.4,16.69,16.01,16.16,142800,16.16
2006-06-26,16.33,16.53,16.06,16.5,75600,16.5
2006-06-27,16.59,16.6,15.61,15.81,99900,15.81
2006-06-28,15.95,16.23,15.74,16.23,119700,16.23
2006-06-29,16.39,16.73,16.25,16.5,219800,16.5
2006-06-30,16.65,16.65,16.07,16.62,1538600,16.62
2006-07-03,16.54,16.54,16.19,16.37,37200,16.37
2006-07-05,16.09,16.25,15.9,16,57300,16
2006-07-06,16.02,16.6,16,16.35,306700,16.35
2006-07-07,16.33,16.69,15.73,15.82,58100,15.82
2006-07-10,16.08,16.6,16.06,16.45,93500,16.45
2006-07-11,16.44,16.64,16.15,16.6,82300,16.6
2006-07-12,16.53,17.14,16.53,16.75,127900,16.75
2006-07-13,16.78,17.04,16.47,16.58,99800,16.58
2006-07-14,16.5,16.8,16.25,16.38,121700,16.38
2006-07-17,16.25,16.99,16.21,16.44,59500,16.44
2006-07-18,16.69,16.87,16.39,16.85,71400,16.85
2006-07-19,16.88,17.1,16.74,17,103200,17
2006-07-20,17.04,17.04,16.28,16.41,61600,16.41
2006-07-21,16.44,16.65,16.1,16.35,73500,16.35
2006-07-24,16.4,17,16.31,16.82,79200,16.82
2006-07-25,16.9,17.32,16.84,17,121100,17
2006-07-26,16.95,17.55,16.8,17.43,198400,17.43
2006-07-27,17.59,17.7,17.03,17.12,138900,17.12
2006-07-28,17.29,17.69,17.05,17.62,216600,17.62
2006-07-31,17.66,18.43,17.66,18.01,118500,18.01
2006-08-01,17.97,18.01,17.17,17.22,72900,17.22
2006-08-02,17.38,17.75,17.22,17.49,86600,17.49
2006-08-03,17.29,17.6,17.24,17.41,98100,17.41
2006-08-04,17.62,18.4,16.87,17.2,189700,17.2
2006-08-07,17.07,17.45,16.94,17.43,85300,17.43
2006-08-08,17.42,17.71,16.98,17.01,119800,17.01
2006-08-09,17.22,17.61,16.93,16.94,435500,16.94
2006-08-10,16.85,17.2,16.53,17.14,123300,17.14
2006-08-11,17.03,17.2,16.85,17.11,63100,17.11
2006-08-14,17.26,17.3,16.88,17.07,127600,17.07
2006-08-15,17.6,17.8,17.17,17.65,185700,17.65
2006-08-16,17.67,18.23,17.67,18.08,190000,18.08
2006-08-17,17.97,18.21,17.57,17.74,238300,17.74
2006-08-18,17.84,17.86,17.35,17.76,114400,17.76
2006-08-21,17.61,18.07,17.46,17.46,244200,17.46
2006-08-22,17.4,17.64,17.3,17.47,94100,17.47
2006-08-23,17.45,17.61,17.25,17.43,158200,17.43
2006-08-24,17.55,17.7,17.23,17.58,105300,17.58
2006-08-25,17.62,17.8,17.62,17.77,47000,17.77
2006-08-28,17.84,17.9,17.79,17.8,45300,17.8
2006-08-29,17.85,18,17.59,17.95,422000,17.95
2006-08-30,17.95,18.28,17.9,18.15,91400,18.15
2006-08-31,18.2,18.6,18.2,18.51,104500,18.51
2006-09-01,18.53,18.76,18.34,18.67,147000,18.67
2006-09-05,18.65,19.28,18.65,19.05,172200,19.05
2006-09-06,18.87,18.96,18.33,18.5,80400,18.5
2006-09-07,18.38,18.63,18.08,18.23,186500,18.23
2006-09-08,18.2,18.2,17.78,17.87,108700,17.87
2006-09-11,17.78,17.87,17.63,17.7,232300,17.7
2006-09-12,17.66,17.76,17.42,17.55,287000,17.55
2006-09-13,17.63,17.94,17.48,17.7,130900,17.7
2006-09-14,17.7,17.7,16.57,16.77,204000,16.77
2006-09-15,16.9,17.05,16.42,16.89,308900,16.89
2006-09-18,16.9,17.2,16.63,17.08,58900,17.08
2006-09-19,17.11,17.22,16.7,17.16,82700,17.16
2006-09-20,17.2,17.5,16.99,17.18,103200,17.18
2006-09-21,17.29,17.45,16.98,17.04,120000,17.04
2006-09-22,17.09,17.52,16.78,17.22,218900,17.22
2006-09-25,17.11,17.2,16.88,17,156600,17
2006-09-26,16.98,17.03,16.91,17,100200,17
2006-09-27,17.06,17.41,16.85,17.4,85800,17.4
2006-09-28,17.46,17.53,17.41,17.45,123800,17.45
2006-09-29,17.45,17.5,17.14,17.17,105600,17.17
2006-10-02,17.16,17.28,16.58,16.92,292000,16.92
2006-10-03,16.8,16.97,16.51,16.71,182900,16.71
2006-10-04,16.75,17.52,16.65,17.4,389500,17.4
2006-10-05,17.5,17.61,17.18,17.5,359400,17.5
2006-10-06,17.41,17.55,17.27,17.5,138000,17.5
2006-10-09,17.55,17.55,17.3,17.4,118500,17.4
2006-10-10,17.37,17.5,17.22,17.46,68300,17.46
2006-10-11,17.46,17.48,17,17.1,235100,17.1
2006-10-12,17.23,17.48,17.22,17.47,174000,17.47
2006-10-13,17.5,17.51,17.28,17.5,203800,17.5
2006-10-16,17.5,17.97,17.45,17.95,165700,17.95
2006-10-17,17.96,18.04,17.44,17.89,111000,17.89
2006-10-18,17.9,18.08,17.74,17.89,111600,17.89
2006-10-19,17.89,18.15,17.88,18,142900,18
2006-10-20,18.11,18.11,17.73,17.78,198100,17.78
2006-10-23,17.64,17.85,17.4,17.62,111800,17.62
2006-10-24,17.6,17.63,17.33,17.54,142700,17.54
2006-10-25,17.54,18.11,17.52,17.84,250000,17.84
2006-10-26,17.89,18.06,17.5,17.85,184400,17.85
2006-10-27,17.85,18.33,17.72,17.93,619000,17.93
2006-10-30,17.81,18.17,17.56,18.1,121700,18.1
2006-10-31,18.05,18.14,17.86,18.08,81800,18.08
2006-11-01,18.11,18.24,17.67,17.99,163500,17.99
2006-11-02,18.36,19.36,18.25,18.55,428100,18.55
2006-11-03,18.62,18.97,18.6,18.7,142500,18.7
2006-11-06,18.86,19.05,18.64,18.71,144700,18.71
2006-11-07,19.02,19.05,18.5,18.54,113600,18.54
2006-11-08,18.52,18.69,18.46,18.65,122600,18.65
2006-11-09,18.78,18.86,18.43,18.68,91800,18.68
2006-11-10,18.71,19.04,18.6,18.75,93300,18.75
2006-11-13,18.85,19.06,18.66,18.8,125700,18.8
2006-11-14,18.71,18.77,18.39,18.71,113900,18.71
2006-11-15,18.75,20.07,18.75,19.89,385200,19.89
2006-11-16,19.9,20.04,19.04,19.18,241600,19.18
2006-11-17,19.21,19.21,18.88,19.01,216500,19.01
